"","Config","Dimensao","Repeticao","Valor"
"633","Config 2",26,8,131.547645015042
"634","Config 2",26,9,108.695982888117
"635","Config 2",26,10,106.655701161021
"636","Config 2",26,11,123.872999654066
"637","Config 2",26,12,105.361705476232
"638","Config 2",26,13,97.577998576805
"639","Config 2",26,14,114.994663578058
"640","Config 2",26,15,105.74339419967
"641","Config 2",26,16,88.6419902749171
"642","Config 2",26,17,97.096305467454
"643","Config 2",26,18,99.7481333276828
"644","Config 2",26,19,99.8972910713353
"645","Config 2",26,20,127.068517135982
"646","Config 2",26,21,123.679505097598
"647","Config 2",26,22,162.635377797456
"648","Config 2",26,23,171.309651392949
"649","Config 2",26,24,116.623407287313
"650","Config 2",26,25,61.1923317960943
"651","Config 2",26,26,104.73461800429
"652","Config 2",26,27,130.301162355634
"653","Config 2",26,28,68.0554848786344
"654","Config 2",26,29,92.7598635150796
"655","Config 2",26,30,96.1021704325498
"656","Config 2",26,31,117.965878669276
"657","Config 2",26,32,118.051436958094
"658","Config 2",26,33,98.3200797567667
"659","Config 2",26,34,88.9269822969833
"660","Config 2",26,35,127.081026978051
"661","Config 2",26,36,114.893966693932
"662","Config 2",26,37,125.653147440732
"663","Config 2",26,38,81.5362620449885
"664","Config 2",26,39,116.333601637046
"665","Config 2",26,40,118.531659656022
"666","Config 2",26,41,123.564560254637
"667","Config 2",26,42,121.569426785585
"668","Config 2",26,43,104.491524544372
"669","Config 2",26,44,70.4740860176562
"670","Config 2",26,45,109.159598614033
"671","Config 2",26,46,111.240682500719
"672","Config 2",26,47,93.564557511949
"673","Config 1",30,0,593227.510630661
"674","Config 1",30,1,699690.16323421
"675","Config 1",30,2,506110.887872627
"676","Config 1",30,3,673193.812013639
"677","Config 1",30,4,535258.345000388
"678","Config 1",30,5,682411.541982419
"679","Config 1",30,6,561556.139339727
"680","Config 1",30,7,577227.284993613
"681","Config 1",30,8,589147.11993612
"682","Config 1",30,9,546179.71109824
"683","Config 1",30,10,727223.410643454
"684","Config 1",30,11,631586.266573834
"685","Config 1",30,12,667513.855675878
"686","Config 1",30,13,658343.970899981
"687","Config 1",30,14,624675.620728304
"688","Config 1",30,15,557420.274684314
"689","Config 1",30,16,774523.465659752
"690","Config 1",30,17,771863.522388906
"691","Config 1",30,18,736571.617083149
"692","Config 1",30,19,575563.22783118
"693","Config 1",30,20,714021.807492135
"694","Config 1",30,21,701896.015881577
"695","Config 1",30,22,640734.7899973
"696","Config 1",30,23,716027.031109707
"697","Config 1",30,24,612409.435560896
"698","Config 1",30,25,655339.892740519
"699","Config 1",30,26,719555.400664217
"700","Config 1",30,27,579436.384973503
"701","Config 1",30,28,436263.783081443
"702","Config 1",30,29,603302.662405325
"703","Config 1",30,30,696246.662685146
"704","Config 1",30,31,524054.905732189
"705","Config 1",30,32,720636.453455357
